Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU
Natural Language Processing,roberta-base-mrpc,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,roberta-large,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,roberta-large,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,roberta-large,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,roberta-large,pytorch,FP32-INT8,OpenVINO,+,,
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,FP32,OpenVINO,+,+,+
Image Classification,se-resnext-50,onnx,FP16,OpenVINO,+,+,+
Image Classification,se-resnext-50,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,se-resnext-50,onnx,FP32,OpenVINO,+,+,+
Image Classification,se-resnext-50,tf,FP16,OpenVINO,+,+,+
Image Classification,se-resnext-50,tf,FP32,OpenVINO,+,+,+
Image Classification,shufflenet,onnx,FP16,OpenVINO,+,+,
Image Classification,shufflenet,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,shufflenet,onnx,FP32,OpenVINO,+,+,
Image Classification,shufflenet-v2-x0.5,onnx,FP16,OpenVINO,+,+,
Image Classification,shufflenet-v2-x0.5,onnx,FP32,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,onnx,FP16,OpenVINO,+,,
Image Classification,shufflenet-v2-x1.0,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,shufflenet-v2-x1.0,onnx,FP32,OpenVINO,+,,
Image Classification,shufflenet-v2-x1.0,onnx,FP16,OpenVINO,,+,+
Image Classification,shufflenet-v2-x1.0,onnx,FP16-INT8,OpenVINO,,+,+
Image Classification,shufflenet-v2-x1.0,onnx,FP32,OpenVINO,,+,+
Image Classification,shufflenet-v2-x1.0,pytorch,FP32,OpenVINO,+,+,
Image Classification,shufflenet-v2-x1.0,pytorch,FP32-INT8,OpenVINO,+,,+
Image Classification,shufflenet-v2-x1.0,tf,FP16,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,shufflenet-v2-x1.0,tf,FP32,OpenVINO,+,+,+
Object Detection,single-human-pose-estimation-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,single-human-pose-estimation-0001,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",single-image-super-resolution-1032,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",single-image-super-resolution-1032,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",single-image-super-resolution-1033,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",single-image-super-resolution-1033,onnx,FP32,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0001,onnx,FP32,OpenVINO,+,+,
Object Detection,smartlab-object-detection-0002,onnx,FP16,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0003,onnx,FP16,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0003,onnx,FP32,OpenVINO,+,+,
Object Detection,smartlab-object-detection-0004,onnx,FP16,OpenVINO,+,+,+
Object Detection,smartlab-object-detection-0004,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,spnasnet-100,onnx,FP16,OpenVINO,+,+,
Image Classification,spnasnet-100,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,spnasnet-100,onnx,FP32,OpenVINO,+,+,
Image Classification,spnasnet-100,pytorch,FP32,OpenVINO,+,+,+
Image Classification,spnasnet-100,pytorch,FP32-INT8,OpenVINO,+,,+
Image Classification,squeezenet1.0,onnx,FP16,OpenVINO,+,+,
Image Classification,squeezenet1.0,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,squeezenet1.0,onnx,FP32,OpenVINO,+,+,
Image Classification,squeezenet1.0,pytorch,FP32,OpenVINO,+,+,
Image Classification,squeezenet1.0,pytorch,FP32-INT8,OpenVINO,+,,
Image Classification,squeezenet1.1,onnx,FP16,OpenVINO,+,+,+
Image Classification,squeezenet1.1,onnx,FP32,OpenVINO,+,+,+
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP16,OpenVINO,+,+,
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,squeezenet1.1-pytorch1.2.0,onnx,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",srgan,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",srgan,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",srgan,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",srgan,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",srgan,tf,FP16-INT8,OpenVINO,+,+,
"Image Processing, Enhancement ",srgan,tf,FP32,OpenVINO,+,+,+
Object Detection,ssd-resnet34-1200,onnx,FP16,OpenVINO,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,ssd-resnet34-1200,onnx,FP32,OpenVINO,+,+,
Object Detection,ssd-resnet34-300x300,tf,FP16,OpenVINO,+,+,+
Object Detection,ssd-resnet34-300x300,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,ssd-resnet34-300x300,tf,FP32,OpenVINO,+,+,+
Object Detection,ssd-vgg16,onnx,FP16,OpenVINO,+,+,+
Object Detection,ssd-vgg16,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ssd-vgg16,onnx,FP32,OpenVINO,+,+,+
Object Detection,ssd300-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ssd300-onnx-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,ssd300-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ssd300-onnx-0001,onnx,FP32,OpenVINO,+,+,+
Object Detection,ssd_mobilenet_v1_coco,tf,FP16,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v1_coco,tf,FP16-INT8,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v1_fpn_coco,tf,FP16,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v2_coco,tf,FP16,OpenVINO,+,+,
Object Detection,ssd_mobilenet_v2_coco,tf,FP16-INT8,OpenVINO,+,+,
Object Detection,ssd_resnet50_v1_fpn_coco,tf2,FP16,OpenVINO,+,,
Object Detection,ssd_resnet50_v1_fpn_coco,tf2,FP16-INT8,OpenVINO,+,+,
Object Detection,ssdlite_mobilenet_v2,tf,FP16,OpenVINO,+,+,
Object Detection,ssdlite_mobilenet_v2,tf,FP16-INT8,OpenVINO,+,+,
Image Processing ,style_transfer,onnx,FP16,OpenVINO,+,+,+
Image Processing ,style_transfer,onnx,FP16-INT8,OpenVINO,+,+,+
Image Processing ,style_transfer,onnx,FP32,OpenVINO,+,+,+
Image Processing ,stylegan2,tf,FP16,OpenVINO,+,+,
Image Processing ,stylegan2,tf,FP16-INT8,OpenVINO,+,+,
Image Processing ,stylegan2,tf,FP32,OpenVINO,+,+,
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16,OpenVINO,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,swin-tiny-patch4-window7-224,onnx,FP32,OpenVINO,+,+,+
Image Classification,swin-tiny-patch4-window7-224,pytorch,FP32,OpenVINO,+,+,
Image Classification,t2t-vit-14,onnx,FP16,OpenVINO,+,,
Image Classification,t2t-vit-14,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,t2t-vit-14,onnx,FP32,OpenVINO,+,,
Image Classification,t2t-vit-7,onnx,FP16,OpenVINO,+,+,
Image Classification,t2t-vit-7,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,t2t-vit-7,onnx,FP32,OpenVINO,+,+,
Text to Speech,tacotron_2,onnx,FP16,OpenVINO,+,,+
Text Detection,text-detection-0003,tf,FP16,OpenVINO,+,+,+
Text Detection,text-detection-0003,tf,FP32,OpenVINO,+,+,+
Text Detection,text-detection-0004,tf,FP16,OpenVINO,+,+,+
Text Detection,text-detection-0004,tf,FP16-INT8,OpenVINO,+,+,+
Text Detection,text-detection-0004,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",text-image-super-resolution-0001,onnx,FP32,OpenVINO,+,+,+
Text Detection,text-recognition-0012,tf,FP16,OpenVINO,+,+,+
Text Detection,text-recognition-0012,tf,FP16-INT8,OpenVINO,+,+,+
Text Detection,text-recognition-0012,tf,FP32,OpenVINO,+,+,+
Text Detection,text-recognition-0013,onnx,FP16,OpenVINO,+,+,+
Text Detection,text-recognition-0013,onnx,FP32,OpenVINO,+,+,
Text Detection,text-recognition-0014,onnx,FP16,OpenVINO,+,+,+
Text Detection,text-recognition-0014,onnx,FP32,OpenVINO,+,+,
Text Detection,text-recognition-0015,onnx,FP16,OpenVINO,+,,+
Text Detection,text-recognition-0015,onnx,FP32,OpenVINO,+,,+
Text Detection,text-recognition-0016,onnx,FP16,OpenVINO,+,,+
Text Detection,text-recognition-0016,onnx,FP32,OpenVINO,+,,+
Text Detection,text-recognition-resnet-fc,onnx,FP16,OpenVINO,+,+,+
Text Detection,text-recognition-resnet-fc,onnx,FP32,OpenVINO,+,+,+
Text Detection,text-spotting-0001,onnx,FP16,OpenVINO,+,+,
Text Detection,text-spotting-0001,onnx,FP32,OpenVINO,+,,
Text Detection,text-spotting-0003,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0003,onnx,FP32,OpenVINO,+,,
Text Detection,text-spotting-0004,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0004,onnx,FP32,OpenVINO,+,,
Text Detection,text-spotting-0005,onnx,FP16,OpenVINO,+,,
Text Detection,text-spotting-0005,onnx,FP32,OpenVINO,+,,
Text to Speech,text-to-speech-en-0001,onnx,FP16,OpenVINO,+,,
Text to Speech,text-to-speech-en-0001,onnx,FP32,OpenVINO,+,,
Text to Speech,text-to-speech-en-multi-0001,onnx,FP16,OpenVINO,+,,
Text to Speech,text-to-speech-en-multi-0001,onnx,FP32,OpenVINO,+,,
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP16,OpenVINO,+,+,+
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Time Series Forecasting,time-series-forecasting-electricity-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,tinybert_6layer_768dim_cola,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,tinybert_6layer_768dim_cola,onnx,FP16-INT8,OpenVINO,+,,+
Natural Language Processing,tinybert_6layer_768dim_cola,onnx,FP32,OpenVINO,+,+,+
Object Detection,tiramisu-fc-densenet-103,tf2,FP16,OpenVINO,+,+,+
Object Detection,tiramisu-fc-densenet-103,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,tiramisu-fc-densenet-103,tf2,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",topaz_video_super_resolution,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",topaz_video_super_resolution,tf,FP32,OpenVINO,+,+,+
Image Classification,tresnet-m,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,ultra-lightweight-face-detection-rfb-320,onnx,FP16,OpenVINO,+,+,
Object Detection,ultra-lightweight-face-detection-rfb-320,onnx,FP32,OpenVINO,+,+,
Object Detection,ultra-lightweight-face-detection-slim-320,onnx,FP16,OpenVINO,+,+,
Object Detection,ultra-lightweight-face-detection-slim-320,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ultra-lightweight-face-detection-slim-320,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,unet-2d,onnx,FP16,OpenVINO,+,+,+
Semantic Segmentation,unet-2d,onnx,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,unet-2d,onnx,FP32,OpenVINO,+,+,+
Semantic Segmentation,unet-camvid-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP16,OpenVINO,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,unet-camvid-onnx-0001,onnx,FP32,OpenVINO,+,+,+
Semantic Segmentation,unet3d_mlperf,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,onnx,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,tf,FP16,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,tf,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,unet3d_mlperf,tf,FP32,OpenVINO,+,+,
URL Classification,urlnet,tf2,FP16,OpenVINO,+,+,+
URL Classification,urlnet,tf2,FP32,OpenVINO,+,+,+
Image Classification,vehicle-attributes-recognition-barrier-0042,onnx,FP16,OpenVINO,+,+,+
Image Classification,vehicle-attributes-recognition-barrier-0042,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,vehicle-attributes-recognition-barrier-0042,onnx,FP32,OpenVINO,+,+,+
Object Detection,vehicle-detection-0200,onnx,FP16,OpenVINO,+,+,+
Object Detection,vehicle-detection-0200,onnx,FP32,OpenVINO,+,+,+
Object Detection,vehicle-detection-0201,onnx,FP16,OpenVINO,+,+,+
Object Detection,vehicle-detection-0201,onnx,FP32,OpenVINO,+,+,+
Object Detection,vehicle-detection-0202,onnx,FP16,OpenVINO,+,+,+
Object Detection,vehicle-detection-0202,onnx,FP32,OpenVINO,+,+,
Image Classification,vehicle-reid-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,vehicle-reid-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,vehicle-reid-0001,onnx,FP32,OpenVINO,+,+,+
Image Classification,versa,tf,FP16,OpenVINO,+,,
Image Classification,versa,tf,FP16-INT8,OpenVINO,+,,
Image Classification,versa,tf,FP32,OpenVINO,+,,
Object Detection,vfnet-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,+,+,
Object Detection,vfnet-resnet50-fpn-pytorch,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,vfnet-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,+,,
Image Classification,vgg-11-bn,pytorch,FP32,OpenVINO,+,+,
Image Classification,vgg-11-bn,pytorch,FP32-INT8,OpenVINO,+,,+
Image Classification,vgg-16-bn,onnx,FP16,OpenVINO,+,+,
Image Classification,vgg-16-bn,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,vgg-16-bn,onnx,FP32,OpenVINO,+,+,
Image Classification,vgg16,onnx,FP16,OpenVINO,+,+,
Image Classification,vgg16,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,vgg16,onnx,FP32,OpenVINO,+,+,
Image Classification,vgg16,pytorch,FP32,OpenVINO,+,+,
Image Classification,vgg16,pytorch,FP32-INT8,OpenVINO,+,,+
Image Classification,vgg16,tf,FP16,OpenVINO,+,+,+
Image Classification,vgg16,tf,FP32,OpenVINO,+,+,+
Image Classification,vgg19,onnx,FP16,OpenVINO,+,+,
Image Classification,vgg19,onnx,FP32,OpenVINO,+,+,
Image Classification,vgg19,tf,FP16,OpenVINO,+,+,+
Image Classification,vgg19,tf,FP32,OpenVINO,+,+,+
Speech Recognition,vggvox,tf,FP16,OpenVINO,+,,
Speech Recognition,vggvox,tf,FP16-INT8,OpenVINO,+,,
Speech Recognition,vggvox,tf,FP32,OpenVINO,+,,
Image Classification,vit-base-16-224,onnx,FP16,OpenVINO,+,,
Image Classification,vit-base-16-224,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,vit-base-16-224,onnx,FP32,OpenVINO,+,,
Image Classification,vit-base-16-224,pytorch,FP32,OpenVINO,+,+,
Image Classification,vit-base-16-224,pytorch,FP32-INT8,OpenVINO,+,,+
Image Classification,vit-base-patch16-224,pytorch,FP16,OpenVINO,+,+,+
Image Classification,vit-base-patch16-224,pytorch,FP16-INT8,OpenVINO,+,+,+
Text Detection,vitstr-small-patch16-224,onnx,FP16,OpenVINO,+,+,+
Text Detection,vitstr-small-patch16-224,onnx,FP16-INT8,OpenVINO,+,+,+
Text Detection,vitstr-small-patch16-224,onnx,FP32,OpenVINO,+,+,+
Speech Recognition,wav2vec2-base,onnx,FP16,OpenVINO,+,,+
Speech Recognition,wav2vec2-base,onnx,FP16-INT8,OpenVINO,+,,
Speech Recognition,wav2vec2-base,onnx,FP32,OpenVINO,+,,+
Text to Speech,wavernn-rnn,onnx,FP16,OpenVINO,+,+,
Text to Speech,wavernn-rnn,onnx,FP16-INT8,OpenVINO,+,+,
Text to Speech,wavernn-rnn,onnx,FP32,OpenVINO,+,+,
Text to Speech,wavernn-upsampler,onnx,FP16,OpenVINO,+,+,+
Text to Speech,wavernn-upsampler,onnx,FP16-INT8,OpenVINO,+,+,+
Text to Speech,wavernn-upsampler,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",wdsr-small-x4,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",wdsr-small-x4,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",wdsr-small-x4,onnx,FP32,OpenVINO,+,+,+
Image Classification,weld-porosity-detection-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,weld-porosity-detection-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,weld-porosity-detection-0001,onnx,FP32,OpenVINO,+,+,+
Speech Recognition,whisper-large-v3-genai,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-genai,pytorch,FP16-INT8,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo-genai,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo-genai,pytorch,FP16-INT8,OpenVINO,+,+,
Speech Recognition,whisper-tiny-genai,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-tiny-genai,pytorch,FP16-INT8,OpenVINO,+,+,
Image Classification,wide-resnet-50-v2,onnx,FP16,OpenVINO,+,+,+
Image Classification,wide-resnet-50-v2,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,wide-resnet-50-v2,onnx,FP32,OpenVINO,+,+,+
Image Classification,xcit-nano-12-p16,pytorch,FP32,OpenVINO,+,+,
Image Classification,xcit-nano-12-p16,pytorch,FP32-INT8,OpenVINO,+,,+
Natural Language Processing,xlm-roberta-base,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,xlm-roberta-base,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,xlnet,onnx,FP16,OpenVINO,+,+,
Natural Language Processing,xlnet,onnx,FP16-INT8,OpenVINO,+,+,
Natural Language Processing,xlnet,onnx,FP32,OpenVINO,+,+,
Instance Segmentation,yolact-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,+,+,
Instance Segmentation,yolact-resnet50-fpn-pytorch,onnx,FP16-INT8,OpenVINO,+,+,+
Instance Segmentation,yolact-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,+,+,
Object Detection,yolo-v4-tiny,tf,FP16,OpenVINO,+,+,+
Object Detection,yolo-v4-tiny,tf,FP32,OpenVINO,+,+,+
Object Detection,yolo11,pytorch,FP32,OpenVINO,+,+,
Object Detection,yolo11,pytorch,FP32-INT8,OpenVINO,+,,
Object Detection,yolo_v4,tf,FP16,OpenVINO,+,+,+
Object Detection,yolo_v4,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v4,tf,FP32,OpenVINO,+,+,+
Object Detection,yolo_v4,tf2,FP16,OpenVINO,+,+,+
Object Detection,yolo_v4,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v4,tf2,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5l,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5l,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5l,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5m,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5m-v6,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5m-v6,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5m-v6,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5m6-v6,onnx,FP16,OpenVINO,+,+,
Object Detection,yolo_v5m6-v6,onnx,FP32,OpenVINO,+,+,
Object Detection,yolo_v5s,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5s,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5s,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5s-v6,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5s-v6,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v5s-v6,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v5x,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v5x,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolo_v8n,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolo_v8n,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolo_v8n,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolof,onnx,FP16,OpenVINO,+,,+
Object Detection,yolof,onnx,FP16-INT8,OpenVINO,+,,+
Object Detection,yolof,onnx,FP32,OpenVINO,+,,+
Object Detection,yolor_p6,onnx,FP16,OpenVINO,+,+,+
Object Detection,yolor_p6,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolor_p6,onnx,FP32,OpenVINO,+,+,+
Object Detection,yolox-tiny,onnx,FP16,OpenVINO,+,+,
Object Detection,yolox-tiny,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,yolox-tiny,onnx,FP32,OpenVINO,+,+,
Large Language Model,baichuan2-13b-chat,pytorch,FP16,OpenVINO,+,+,
Large Language Model,baichuan2-13b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,baichuan2-13b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,chatglm3-6b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,chatglm3-6b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,chatglm3-6b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,flan-t5-xxl,pytorch,FP16,OpenVINO,+,+,
Large Language Model,flan-t5-xxl,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,flan-t5-xxl,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,gpt-j-6b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gpt-j-6b,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,gpt-j-6b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-2-7b-chat-hf,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-2-7b-chat-hf,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-2-7b-chat-hf,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-2-7b-chat-hf,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,llama-2-13b-chat-hf,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,llama-3.2-3b-instruct,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,llama-3.2-1b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3.2-1b-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,llama-3.2-1b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-3.1-8b-instruct,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,mistral-7b-v0.1,pytorch,FP16,OpenVINO,+,+,
Large Language Model,mistral-7b-v0.1,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,mistral-7b-v0.1,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-2,pytorch,FP16,OpenVINO,+,+,
Large Language Model,phi-2,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-2,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,stable-diffusion-v1-5,pytorch,FP16,OpenVINO,+,+,
Image Generation,stable-diffusion-v1-5,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,stable-diffusion-v1-5,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,sd-turbo,pytorch,FP16,OpenVINO,+,+,
Image Generation,sd-turbo,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,sd-turbo,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,stable-diffusion-v2-1,pytorch,FP16,OpenVINO,+,+,
Image Generation,stable-diffusion-v2-1,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,stable-diffusion-v2-1,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,FP16,OpenVINO,+,+,
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,stable-diffusion-3.5-large-turbo,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,stable-diffusion-xl-1.0-inpainting-0.1,pytorch,FP16,OpenVINO,+,+,
Image Generation,stable-diffusion-xl-1.0-inpainting-0.1,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,gemma-7b-it,pytorch,FP16,OpenVINO,+,,
Image Generation,flux.1-schnell,pytorch,INT8-CW,OpenVINO,+,,
Image Generation,flux.1-schnell,pytorch,INT8-HYBRID,OpenVINO,+,,
Image Generation,flux.1-schnell,pytorch,INT4-MIXED,OpenVINO,+,,
Image Generation,flux.1-dev,pytorch,INT8-CW,OpenVINO,+,,
Image Generation,flux.1-dev,pytorch,INT8-HYBRID,OpenVINO,+,,
Large Language Model,stable-zephyr-3b-dpo,pytorch,FP16,OpenVINO,+,+,
Large Language Model,stable-zephyr-3b-dpo,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,stable-zephyr-3b-dpo,pytorch,INT4-MIXED,OpenVINO,+,+,+
Natural Language Processing,t5-small,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gemma-7b-it,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,gemma-7b-it,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen1.5-14b-chat,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen1.5-14b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,qwen1.5-14b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen2.5-7b-instruct,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2.5-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2.5-7b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen2.5-1.5b-instruct,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,qwen2.5-coder-3b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,qwen2.5-coder-3b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
