Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Object Detection,human-pose-estimation-0003,onnx,FP32,OpenVINO,+,+,+
Object Detection,human-pose-estimation-0004,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0004,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0005,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0005,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0006,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0006,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-0007,onnx,FP16,OpenVINO,+,+,
Object Detection,human-pose-estimation-0007,onnx,FP32,OpenVINO,+,+,
Object Detection,human-pose-estimation-3d-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,human-pose-estimation-3d-0001,onnx,FP32,OpenVINO,,+,+
Object Detection,human-pose-estimation-3d-0001,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,human-pose-estimation-3d-0001,onnx,FP16,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",hybrid-cs-model-mri,tf2,FP16,OpenVINO,+,,
"Image Processing, Enhancement ",hybrid-cs-model-mri,tf2,FP32,OpenVINO,+,,
Action Recognition,i3d-flow,tf,FP16,OpenVINO,+,+,
Action Recognition,i3d-flow,tf,FP16-INT8,OpenVINO,+,,
Action Recognition,i3d-flow,tf,FP32,OpenVINO,+,+,
Action Recognition,i3d-rgb,tf,FP16,OpenVINO,+,,
Action Recognition,i3d-rgb,tf,FP16-INT8,OpenVINO,+,,
Natural Language Processing,ibert-roberta-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,ibert-roberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,ibert-roberta-base-finetuned-mrpc,pytorch,intel-optimum default,Optimum Intel,+,+,
Semantic Segmentation,icnet-camvid-ava-0001,tf,FP16,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-0001,tf,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-0001,tf,FP32,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-30-0001,tf,FP16,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-30-0001,tf,FP32,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-60-0001,tf,FP16,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-60-0001,tf,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,icnet-camvid-ava-sparse-60-0001,tf,FP32,OpenVINO,+,+,
Image Classification,ig_resnext101_32x8d,pytorch,FP32,torch.compile,+,+,+
Image Classification,image-retrieval-0001,tf,FP16,OpenVINO,+,,+
Image Classification,image-retrieval-0001,tf,FP16-INT8,OpenVINO,+,,+
Image Classification,image-retrieval-0001,tf,FP32,OpenVINO,+,,
Image Classification,inception_resnet_v2,pytorch,FP32,torch.compile,+,+,+
Image Classification,inception_v3,pytorch,FP32,torch.compile,+,+,+
Image Classification,inception_v4,pytorch,FP32,torch.compile,+,+,+
Image Classification,inception-resnet-v2,tf,FP16,OpenVINO,+,,+
Image Classification,inception-resnet-v2,tf,FP16-INT8,OpenVINO,+,,+
Image Classification,inception-resnet-v2,tf,FP32,OpenVINO,+,,+
Image Classification,inceptionv3-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,,+
Instance Segmentation,instance-segmentation-person-0007,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-person-0007,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0002,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0002,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0010,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0010,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0010,onnx,FP32,ONNX Runtime OVEP,+,+,
Instance Segmentation,instance-segmentation-security-0010,onnx,FP16,ONNX Runtime OVEP,+,+,
Instance Segmentation,instance-segmentation-security-0050,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0050,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0083,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0083,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0091,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0091,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0228,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-0228,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1025,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1025,onnx,FP16-INT8,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1025,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1039,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1039,onnx,FP32,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1040,onnx,FP16,OpenVINO,+,,
Instance Segmentation,instance-segmentation-security-1040,onnx,FP32,OpenVINO,+,,
Audio,intel_dns,onnx,FP32,ONNX Runtime OVEP,+,+,
Audio,intel_dns,onnx,FP16,ONNX Runtime OVEP,+,+,
Audio,intel_dns,onnx,INT8,ONNX Runtime OVEP,+,+,
Large Language Model,internlm2-1_8b,pytorch,INT4,Optimum Intel,+,,
Large Language Model,internlm2-7b,pytorch,INT4,Optimum Intel,+,,
Large Language Model,internlm2-chat-1_8b,pytorch,INT4,Optimum Intel,+,,
Large Language Model,internlm2-chat-7b,pytorch,INT4,Optimum Intel,+,,
Large Language Model,internlm2-chat-7b-sft,pytorch,INT4,Optimum Intel,+,,
Large Language Model,internlm2-math-7b,pytorch,INT4,Optimum Intel,+,,
Large Language Model,internlm2-math-base-7b,pytorch,INT4,Optimum Intel,+,,
Image Classification,jx_nest_small,pytorch,FP32,torch.compile,+,+,
Natural Language Processing,kcbert-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,klue-roberta-base-ner,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,lambda_resnet50ts,pytorch,FP32,torch.compile,+,+,+
Image Classification,lamhalobotnet50ts_256,pytorch,FP32,torch.compile,+,+,
Natural Language Processing,layoutlm-base-uncased,pytorch,FP32,torch.compile,+,+,+
Image Generation,lcm-dreamshaper-v7,pytorch,FP16,OpenVINO,+,+,
Image Generation,lcm-dreamshaper-v7,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,lcm-dreamshaper-v7,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,lcm-dreamshaper-v7,pytorch,INT4-MIXED,OpenVINO,+,+,
Image Generation,lcm-sdxl,pytorch,FP16,OpenVINO,+,+,
Image Generation,lcm-sdxl,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,lcm-sdxl,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Classification,lcnet_075.ra2_in1k,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",learning-to-see-in-the-dark-fuji,tf,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",learning-to-see-in-the-dark-fuji,tf,FP16-INT8,OpenVINO,+,+,
"Image Processing, Enhancement ",learning-to-see-in-the-dark-fuji,tf,FP32,OpenVINO,+,+,
Natural Language Processing,led-base-16384,pytorch,FP32,torch.compile,+,+,+
Image Classification,legacy_senet154,pytorch,FP32,torch.compile,+,+,
Image Classification,legacy_seresnet34,pytorch,FP32,torch.compile,+,+,
Image Classification,legacy_seresnext50_32x4d,pytorch,FP32,torch.compile,+,+,
Natural Language Processing,legal-bert-base-uncased,pytorch,FP32,torch.compile,+,+,+
Particle Interaction,lennard_jones,pytorch,FP32,torch.compile,+,+,+
Image Classification,levit-128s,onnx,FP16,OpenVINO,+,,
Image Classification,levit-128s,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,levit-128s,onnx,FP32,OpenVINO,+,,
Image Classification,levit-256,pytorch,intel-optimum default,Optimum Intel,+,+,
Text Detection,license-plate-recognition-barrier-0007,tf,FP16,OpenVINO,+,,+
Text Detection,license-plate-recognition-barrier-0007,tf,FP16-INT8,OpenVINO,+,,
Text Detection,license-plate-recognition-barrier-0007,tf,FP32,OpenVINO,+,,+
Large Language Model,llama_2_7b_chat,pytorch,FP32,torch.compile,+,+,+
Large Language Model,llama-2-13b-chat-hf,pytorch,FP16,OpenVINO,+,,
Large Language Model,llama-2-13b-chat-hf,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,llama-2-13b-chat-hf,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,Llama-2-13b-chat-hf,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Llama-2-13b-hf,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,llama-2-7b-chat-hf,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-2-7b-chat-hf,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-2-7b-chat-hf,pytorch,FP16,OpenVINO,+,+,+
Large Language Model,Llama-2-7b-chat-hf,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,llama-2-7b-gptq,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,Llama-2-7b-hf,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,llama-3.1-8b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-3.1-8b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,llama-3.1-8b,pytorch,FP16,OpenVINO,+,,
Large Language Model,llama-3.1-8b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3.1-8b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-3.1-8b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-3.2-1b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3.2-1b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-3.2-1b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,llama-3.2-3b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3.2-3b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-3.2-3b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,llama-3-8b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,llama-3-8b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-3-8b,pytorch,FP16,OpenVINO,+,+,
Natural Language Processing,longformer-base-4096,pytorch,FP32,torch.compile,+,+,
Image Classification,lraspp_mobilenet_v3_large,pytorch,FP32,torch.compile,+,+,+
Image Classification,lraspp-mobilenet-v3-large,onnx,FP16,OpenVINO,+,+,+
Image Classification,lraspp-mobilenet-v3-large,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,lraspp-mobilenet-v3-large,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,m2m100_418M,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,machine-translation-nar-de-en-0001,onnx,FP16,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-de-en-0002,onnx,FP16,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-de-0001,onnx,FP16,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-de-0002,onnx,FP16,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-ru-0002,onnx,FP16,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-en-ru-0002,onnx,FP32,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-ru-en-0002,onnx,FP16,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-ru-en-0002,onnx,FP16-INT8,OpenVINO,+,,
Natural Language Processing,machine-translation-nar-ru-en-0002,onnx,FP32,OpenVINO,+,,
Large Language Model,Magicoder-CL-7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Magicoder-DS-6.7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Magicoder-S-CL-7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Magicoder-S-DS-6.7B,pytorch,INT4,Optimum Intel,+,+,
Text Recognition,maml_omniglot,pytorch,FP32,torch.compile,+,+,+
Large Language Model,MarianCausalLM,pytorch,INT4,Optimum Intel,+,+,
Natural Language Processing,marian-finetuned-kde4-en-to-cn-accelerate,pytorch,intel-optimum default,Optimum Intel,+,+,
Instance Segmentation,mask_rcnn_inception_resnet_v2_atrous_coco,tf,FP32,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_inception_resnet_v2_atrous_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet101_atrous_coco,tf,FP32,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet101_atrous_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet50_atrous_coco,tf,FP32,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet50_atrous_coco,tf,FP16,OpenVINO,+,+,
Instance Segmentation,mask_rcnn_resnet50_atrous_coco,tf,INT8,OpenVINO,+,+,
Object Detection,mask-rcnn-resnet50-fpn,onnx,FP32,ONNX Runtime OVEP,+,,
Object Detection,mask-rcnn-resnet50-fpn,onnx,FP16,ONNX Runtime OVEP,+,,
Image Classification,maxvit_rmlp_small_rw_224.sw_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,maxvit_t,pytorch,FP32,torch.compile,+,+,
Image Classification,maxxvit_rmlp_small_rw_256.sw_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,mbart-large-50-many-to-one-mmt,pytorch,intel-optimum default,Optimum Intel,+,+,
Action Recognition,mc3_18,pytorch,FP32,torch.compile,+,+,
Large Language Model,Meta-Llama-3-8B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Meta-Llama-3-8B-Instruct,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Meta-Llama-Guard-2-8B,pytorch,INT4,Optimum Intel,+,+,
Monodepth,midasnet,onnx,FP16,OpenVINO,+,+,+
Monodepth,midasnet,onnx,FP16-INT8,OpenVINO,+,+,+
Monodepth,midasnet,onnx,FP32,OpenVINO,+,+,+
Monodepth,midasnet,onnx,FP32,ONNX Runtime OVEP,,,+
Monodepth,midasnet,onnx,FP16,ONNX Runtime OVEP,,,+
Monodepth,midasnet,onnx,INT8,ONNX Runtime OVEP,,,+
Large Language Model,MindChat-Qwen2-4B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,minicpm-1b-sft,pytorch,FP16,OpenVINO,+,+,
Large Language Model,minicpm-1b-sft,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,minicpm-1b-sft,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,MiniCPM-2B-sft-bf16,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,minicpm3-4b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,minicpm3-4b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,minicpm3-4b,pytorch,INT8-CW,OpenVINO,+,+,
Natural Language Processing,minilm-uncased-squad2,pytorch,FP32,torch.compile,+,+,+
Large Language Model,mistral-7b-instruct-v0.2,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,mistral-7b-instruct-v0.2,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,mistral-7b-instruct-v0.2,pytorch,FP16,OpenVINO,+,+,
Large Language Model,Mistral-7B-Instruct-v0.2,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Mistral-7B-Instruct-v0.3,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,mistral-7b-v0.1,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,mistral-7b-v0.1,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,mistral-7b-v0.1,pytorch,FP16,OpenVINO,+,+,
Large Language Model,Mistral-7B-v0.3,pytorch,INT4,Optimum Intel,+,+,
Image Classification,mixer_b16_224_miil,pytorch,FP32,torch.compile,+,+,+
Image Classification,mixer_l16_224_in21k,pytorch,FP32,torch.compile,+,+,+
Image Classification,mixnet_l.ft_in1k,pytorch,FP32,torch.compile,+,+,+
Large Language Model,mixtral-8x7b-v0.1,pytorch,INT4-MIXED,OpenVINO,+,,
Image Classification,mlp-mixer-b16-224-miil,onnx,FP16,OpenVINO,+,,+
Image Classification,mlp-mixer-b16-224-miil,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,mlp-mixer-b16-224-miil,onnx,FP32,OpenVINO,+,,+
Image Classification,mnasnet_small.lamb_in1k,pytorch,FP32,torch.compile,+,+,+
Object Detection,mnasnet-0.5,onnx,FP16,OpenVINO,+,+,+
Image Classification,mnasnet0_5,pytorch,FP32,torch.compile,+,+,+
Image Classification,mnasnet0_75,pytorch,FP32,torch.compile,+,+,+
Image Classification,mnasnet1_0,pytorch,FP32,torch.compile,+,+,+
Image Classification,mnasnet1_3,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,mobilebert,onnx,FP16-INT8,OpenVINO,+,+,
Natural Language Processing,mobilebert,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,mobilebert,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,mobilebert,onnx,INT8,ONNX Runtime OVEP,+,+,
Natural Language Processing,mobilebert-uncased,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilenet_v1_1.0_224,pytorch,intel-optimum default,Optimum Intel,+,+,
Object Detection,mobilenet_v2,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilenet_v2_1.4_224,pytorch,intel-optimum default,Optimum Intel,+,+,
Object Detection,mobilenet_v3_large,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilenet_v3_small,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilenet-v1-0.25-128,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v1-0.25-128,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v1-0.25-128,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v1-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v1-1.0-224,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2,onnx,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2,onnx,FP32,OpenVINO,+,+,
Object Detection,mobilenet-v2,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,mobilenet-v2,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,mobilenet-v2,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,mobilenet-v2,paddle,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v2,pytorch,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v2,paddle,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2,pytorch,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2,paddle,INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2,pytorch,INT8,OpenVINO,+,+,+
Object Detection,mobilenetv2_050.lamb_in1k,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf,FP32,OpenVINO,+,+,
Object Detection,mobilenet-v2-1.0-224,tf2,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.0-224,tf2,FP32,OpenVINO,+,+,
Object Detection,mobilenet-v2-1.4-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v2-1.4-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenetv2-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,mobilenetv3_large_100.miil_in21k,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,tf2,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP32,ONNX Runtime OVEP,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,FP16,ONNX Runtime OVEP,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,onnx,INT8,ONNX Runtime OVEP,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,paddle,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,pytorch,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,paddle,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,pytorch,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-large-1.0-224,paddle,INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,onnx,FP32,OpenVINO,+,+,
Object Detection,mobilenet-v3-small-1.0-224,tf,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf,FP32,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP16,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP16-INT8,OpenVINO,+,+,+
Object Detection,mobilenet-v3-small-1.0-224,tf2,FP32,OpenVINO,+,+,
Image Classification,mobilevit_s,pytorch,FP32,torch.compile,+,+,+
Object Detection,mobilevitv2_150,pytorch,FP32,torch.compile,+,+,+
Image Classification,mobilevit-xx-small,pytorch,intel-optimum default,Optimum Intel,+,+,
Background Matting,modnet_photographic_portrait_matting,onnx,FP16,OpenVINO,+,,
Background Matting,modnet_photographic_portrait_matting,onnx,FP32,OpenVINO,+,,
Background Matting,modnet_photographic_portrait_matting,onnx,FP32,ONNX Runtime OVEP,+,+,+
Background Matting,modnet_photographic_portrait_matting,onnx,FP16,ONNX Runtime OVEP,+,+,+
Background Matting,modnet_photographic_portrait_matting,onnx,INT8,ONNX Runtime OVEP,+,+,+
Background Matting,modnet_webcam_portrait_matting,onnx,FP16-INT8,OpenVINO,+,,+
Background Matting,modnet_webcam_portrait_matting,onnx,FP32,OpenVINO,+,,
Background Matting,modnet_webcam_portrait_matting,onnx,FP32,ONNX Runtime OVEP,+,+,+
Background Matting,modnet_webcam_portrait_matting,onnx,FP16,ONNX Runtime OVEP,+,+,+
Background Matting,modnet_webcam_portrait_matting,onnx,INT8,ONNX Runtime OVEP,+,+,+
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP16,OpenVINO,+,,+
Speech Recognition,mozilla-deepspeech-0.8.2,tf,FP32,OpenVINO,+,,+
Natural Language Processing,mpnet-base,pytorch,FP32,torch.compile,+,+,+
Large Language Model,mpt-7b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,mpt-7b-8k,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,mpt-7b-8k-chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,mpt-7b-chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,mpt-7b-instruct,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,mpt-7b-storywriter,pytorch,INT4,Optimum Intel,+,+,
Natural Language Processing,ms-marco-electra-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,mt5-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,mt5-small-sum-de-en-v2,pytorch,FP32,torch.compile,+,+,+
Video Classification,mvit_v1_b,pytorch,FP32,torch.compile,+,+,+
Video Classification,mvit_v2_s,pytorch,FP32,torch.compile,+,+,+
Video Classification,mvitv2_small,pytorch,FP32,torch.compile,+,+,+
Object Detection,nanodet-m-1.5x-416,onnx,FP16,OpenVINO,+,+,+
Object Detection,nanodet-m-1.5x-416,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,nanodet-m-1.5x-416,onnx,FP32,OpenVINO,+,+,+
Image Classification,nasnet-a-large-331,tf,FP16,OpenVINO,+,+,+
Image Classification,nasnet-a-large-331,tf,FP16-INT8,OpenVINO,+,+,
Image Classification,nasnet-a-large-331,tf,FP32,OpenVINO,+,+,+
Image Classification,nasnet-a-mobile-224,tf,FP16-INT8,OpenVINO,+,,
Image Classification,nasnet-a-mobile-224,tf,FP16,OpenVINO,+,,+
Image Classification,nasnet-a-mobile-224,tf,FP32,OpenVINO,+,,+
Image Classification,netvlad,tf,FP16,OpenVINO,+,,
Image Classification,netvlad,tf,FP32,OpenVINO,+,,
Large Language Model,neural-chat-7b-v1-1,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,neural-chat-7b-v3-3,pytorch,FP16,OpenVINO,+,+,
Large Language Model,neural-chat-7b-v3-3,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,neural-chat-7b-v3-3,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,neural-chat-7b-v3-3,pytorch,INT4,Optimum Intel,+,+,
Image Classification,nf_regnet_b1,pytorch,FP32,torch.compile,+,+,+
Image Classification,nf_resnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,nfnet,pytorch,FP32,torch.compile,+,+,+
Image Classification,nfnet_l0,pytorch,FP32,torch.compile,+,+,+
Image Classification,nfnet-f0,onnx,FP16,OpenVINO,+,,+
Image Classification,nfnet-f0,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,nfnet-f0,onnx,FP32,OpenVINO,+,,+
Large Language Model,notus-7b-v1,pytorch,FP16,OpenVINO,+,+,
Large Language Model,notus-7b-v1,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,notus-7b-v1,pytorch,INT8-CW,OpenVINO,+,+,
Text Detection,ocr-perpetuuiti,tf,FP16,OpenVINO,+,,
Text Detection,ocr-perpetuuiti,tf,FP16-INT8,OpenVINO,+,,
Text Detection,ocr-perpetuuiti,tf,FP32,OpenVINO,+,,
Image Classification,open-closed-eye-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,open-closed-eye-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,open-closed-eye-0001,onnx,FP32,OpenVINO,,+,+
Image Classification,open-closed-eye-0001,onnx,FP32,ONNX Runtime OVEP,,,+
Image Classification,open-closed-eye-0001,onnx,FP16,ONNX Runtime OVEP,,,+
Image Classification,open-closed-eye-0001,onnx,INT8,ONNX Runtime OVEP,,,+
Natural Language Processing,opennmt-hindi-english,onnx,FP16,OpenVINO,+,,+
